time,px,py,yaw,v,slip_angle,omega,accel,steer
53.26,-15.588367497635689,114.33344990901585,1.4069388229413624,11.922254043096467,0.4105573522299596,-1.4361883518939338,-4.017409449429481,-0.40999983945496765
53.28,-15.64659704173619,114.56467592865718,1.3782150559034836,11.880360979402095,0.4103401096283672,-1.4410460202898545,-4.005190943644535,-0.4099985550954632
53.300000000000004,-15.697930208027943,114.79667203181788,1.3493941354976862,11.838462116442573,0.4101207398587169,-1.4459366844680455,-3.9929542685357244,-0.40999598638047774
53.32,-15.74234823816377,115.02923773741432,1.3204754018083253,11.796558446684971,0.4098992193485125,-1.4508606430492264,-3.9806994796140547,-0.40999213331805795
53.34,-15.779838174621922,115.2621714522589,1.2914581889473409,11.754650967152006,0.40967552589318323,-1.4558181882760999,-3.9684266324726716,-0.40998699592027393
53.36,-15.810392929162234,115.49527063448839,1.262341825181819,11.712740679389613,0.4094496384782298,-1.460809604272506,-3.9561357827866637,-0.4099805742032189
53.38,-15.834011347109147,115.72833196059099,1.2331256330963694,11.670828589434022,0.40922153707047815,-1.4658351655183097,-3.94382698631278,-0.4099728681870095
53.4,-15.850698267299904,115.96115149595433,1.2038089297860033,11.628915707778356,0.40899120238349496,-1.4708951355685296,-3.9315002988891896,-0.40996387789578553
53.42,-15.860464577536037,116.19352486885059,1.1743910270746323,11.587003049338751,0.40875861562269283,-1.475989766039262,-3.9191557764352023,-0.4099536033577098
53.44,-15.863327265376222,116.42524744776888,1.1448712317538465,11.545091633419993,0.40852375821599823,-1.481119295876603,-3.9067934749510727,-0.4099420446049682
53.46,-15.859309464108739,116.65611452199856,1.1152488458363141,11.503182483680666,0.40828661153616136,-1.486283950918189,-3.894413450517671,-0.40992920167376945
53.480000000000004,-15.84844049374196,116.88592148536088,1.08552316681795,11.461276628097833,0.40804715662085606,-1.4914839437502792,-3.882015759296284,-0.4099150746043452
53.5,-15.830755896851727,117.11446402298002,1.0556934879429445,11.419375098931226,0.4078053738966468,-1.4967194738566845,-3.8696004575283562,-0.4098996634409496
53.52,-15.806297469125026,117.3415383009778,1.0257590984658105,11.377478932686962,0.40756124291269596,-1.501990728049432,-3.857167601535193,-0.40988296823185955
53.54,-15.775113284440065,117.56694115896967,0.9957192839048217,11.335589170080782,0.4073147420897534,-1.5072978811649647,-3.8447172477177505,-0.4098649890293742
53.56,-15.73725771432379,117.79047030523267,0.9655733262815227,11.293706856000806,0.40706584848952126,-1.5126410970041009,-3.8322494525563626,-0.4098457258898149
53.58,-15.692791441628895,118.01192451440926,0.9353205043414405,11.25183303946982,0.40681453760893477,-1.5180205294889553,-3.8197642726104855,-0.40982517887352504
53.6,-15.641781468273727,118.23110382760339,0.9049600937516615,11.20996877360708,0.40656078320325384,-1.5234363240057318,-3.8072617645184215,-0.40980334804487
53.620000000000005,-15.584301116889979,118.44780975471821,0.8744913672715473,11.168115115589645,0.4063045571411442,-1.5288886188987623,-3.794741984997114,-0.4097802334722367
53.64,-15.520430026224766,118.6618454788771,0.8439135948935723,11.126273126613231,0.40604582929415023,-1.5343775470784837,-3.7822049908418367,-0.4097558352280334
53.660000000000004,-15.450254140145782,118.87301606276239,0.8132260439520027,11.084443871852605,0.4057845674621492,-1.5399032377042485,-3.7696508389259473,-0.4097301533886898
53.68,-15.373865690100459,119.0811286566979,0.7824279791979176,11.042628420421487,0.4055207373355445,-1.5454658179019765,-3.7570795862006707,-0.40970318803465644
53.7,-15.29136317088268,119.28599270829405,0.751518662839878,11.000827845332005,0.40525430249412325,-1.5510654144766869,-3.744491289694774,-0.40967493925040455
53.72,-15.202851309563554,119.48742017346585,0.7204973545503441,10.959043223453659,0.40498522444169005,-1.5567021555808698,-3.7318860065143613,-0.4096454071244259
53.74,-15.108441027446029,119.68522572862618,0.6893633114387265,10.917275635471835,0.40471346267481334,-1.5623761723014284,-3.7192637938425936,-0.4096145917492323
53.76,-15.008249394906757,119.87922698384817,0.6581157879926982,10.875526165845837,0.4044389747832969,-1.5680876001305024,-3.706624708939435,-0.4095824932213557
53.78,-14.902399578992757,120.06924469678258,0.6267540359900883,10.833795902766468,0.40416171657933603,-1.5738365802887748,-3.693968809141369,-0.4095491116413474
53.800000000000004,-14.791020783644784,120.25510298710712,0.5952773043843127,10.792085938113136,0.40388164225174644,-1.579623260873797,-3.681296151861189,-0.409514447113778
53.82,-14.67424818242433,120.43662955127662,0.5636848391668368,10.750397367410505,0.40359870454117475,-1.5854477978103219,-3.668606794587695,-0.40947849974723716
53.84,-14.55222284362645,120.613655877334,0.53197588321063,10.708731289784684,0.40331285493182495,-1.5913103555845194,-3.6559007948854267,-0.4094412696543331
53.86,-14.425091647666449,120.78601745953372,0.5001496760989399,10.66708880791895,0.40302404385496776,-1.5972111077491145,-3.64317821039446,-0.4094027569516922
53.88,-14.293007196634798,120.95355401252091,0.46820545394395774,10.625471028009029,0.4027322208993439,-1.6031502371918471,-3.6304390988300694,-0.4093629617599588
53.9,-14.156127715921341,121.11610968480043,0.4361424492001209,10.58387905971791,0.4024373350235329,-1.6091279361650492,-3.617683517982525,-0.40932188420379473
53.92,-14.014616947817196,121.27353327122236,0.4039598904768198,10.542314016130202,0.40213933476542774,-1.6151444060794566,-3.604911525716803,-0.4092795244118789
53.94,-13.868644037010505,121.42567842420152,0.3716570023552306,10.50077701370605,0.401838168444135,-1.6211998570705106,-3.5921231799723343,-0.4092358825169072
53.96,-13.71838340790044,121.57240386338074,0.3392330052138206,10.4592691722346,0.40153378434990006,-1.6272945073502199,-3.579318538762715,-0.4091909586555913
53.980000000000004,-13.564014633662666,121.71357358343934,0.30668711506681623,10.417791614787008,0.4012261309180284,-1.6334285823620835,-3.5664976601754983,-0.4091447529686592
